NestID,Chaos,Sub,Bifurc,Sideb,Sideb3,Biphon,JumpUP,JumpDown,Jumps,modup,moddown,softcomp,loudcomp,Fledged,weeksold,max_age,Julian_Date
Ballast_F_17,0.6,0.5,0.1,1,1.0,1,0.2,0.1,0.2,1,1,1,1,0,3,6,42878
Ballast_F_17,0.4,0.2,0.1,0.7,0.3,0.9,0.1,0,0.1,0.6,0.9,0.8,1,0,3,6,42884
Ballast_F_17,0.5,0.2,0,0.9,0.7,0.7,0.2,0.1,0.2,0.5,0.8,1,1,0,4,6,42890
Ballast_F_17,0.4,0.7,0.1,0.8,0.5,0.3,0.2,0.1,0.2,0.3,0.4,1,0.8,0,5,6,42902
Ballast_F_17,0.5,0.3,0,1,1.0,0.8,0,0.1,0.1,0.3,0.9,1,1,0,6,6,42906
Ballast_F_18,1,0.4,0.1,0.9,0.7,0.5,0.3,0,0.2,0.9,0.9,1,1,0,1,6,43270
Ballast_F_18,1,0.3,0.3,0.9,0.7,0.4,0.4,0.2,0.3,0.6,0.5,1,1,0,1,6,43278
Ballast_F_18,0.8,0,0,0.7,0.3,0.3,0.2,0,0.1,0.7,0.8,1,0.8,0,2,6,43284
Ballast_F_18,0.9,0.1,0,0.9,0.7,0.3,0.1,0.1,0.1,0.4,0.8,0.9,0,0,2,6,43285
Ballast_F_18,0.9,0.2,0.3,1,1.0,0,0.5,0.5,0.5,0.6,0.5,1,1,0,3,6,43291
Ballast_F_18,0.9,0.6,0.6,0.9,0.7,0.3,0.7,0.2,0.5,0.7,0.4,1,0.8,0,4,6,43299
Ballast_F_18,0.9,0.1,0,0.8,0.5,0.1,0.2,0.4,0.3,0.2,0.6,1,1,0,5,6,43306
Ballast_F_18,0.7,0.5,0.6,1,1.0,0.4,0.2,0.7,0.5,0.9,0.8,0.6,0.1,0,6,6,43310
Cluster_F_17,0.6,0.7,0.1,1,1.0,0.4,0.1,0.5,0.3,0.6,0.7,1,1,1,5,12,42915
Cluster_F_17,1,0.5,0.1,1,1.0,0.4,0.2,0.2,0.2,0.7,1,1,1,1,6,12,42920
Cluster_F_17,1,0.3,0.2,1,1.0,0.4,0.1,0.2,0.2,1,1,1,1,1,7,12,42926
