NestID,Chaos,Sub,Bifurc,Sideb,Sideb3,Biphon,Jumps,Fledged,Nest-age,max_age
Ballast_F_17,0.6,0.5,0.1,1,1,1,0.2,0,3,6
Ballast_F_17,0.4,0.2,0.1,0.7,0.3,0.9,0.1,0,3,6
Ballast_F_17,0.5,0.2,0,0.9,0.7,0.7,0.2,0,4,6
Ballast_F_17,0.4,0.7,0.1,0.8,0.5,0.3,0.2,0,5,6
Ballast_F_17,0.5,0.3,0,1,1,0.8,0.1,0,6,6
Ballast_F_18,1,0.4,0.1,0.9,0.7,0.5,0.2,0,1,6
Ballast_F_18,1,0.3,0.3,0.9,0.7,0.4,0.3,0,1,6
Ballast_F_18,0.8,0,0,0.7,0.3,0.3,0.1,0,2,6
Ballast_F_18,0.9,0.1,0,0.9,0.7,0.3,0.1,0,2,6
Ballast_F_18,0.9,0.2,0.3,1,1,0,0.5,0,3,6
Ballast_F_18,0.9,0.6,0.6,0.9,0.7,0.3,0.5,0,4,6
Ballast_F_18,0.9,0.1,0,0.8,0.5,0.1,0.3,0,5,6
Ballast_F_18,0.7,0.5,0.6,1,1,0.4,0.5,0,6,6
Cluster_F_17,0.6,0.7,0.1,1,1,0.4,0.3,1,5,12
Cluster_F_17,1,0.5,0.1,1,1,0.4,0.2,1,6,12
Cluster_F_17,1,0.3,0.2,1,1,0.4,0.2,1,7,12
Cluster_F_17,0.4,0.4,0.1,1,1,0.7,0.1,1,8,12
Cluster_F_17,0.8,0.4,0.2,1,1,0.4,0.1,1,9,12
Cluster_F_17,0.4,0.3,0.1,0.5,0.1,0.5,0.1,1,9,12
Cluster_F_17,0.9,0.2,0.1,0.8,0.5,0.5,0.1,1,10,12
Cluster_F_17,0.8,0.4,0.3,1,1,0.7,0.3,1,11,12
Cluster_F_17,1,0.4,0.3,1,1,0.4,0.1,1,12,12
Flynn2_F_18,0.8,0.7,0.3,1,1,0.6,0.2,0,2,8
Flynn2_F_18,0.1,0.2,0,0.7,0.3,0.3,0.4,0,3,8
Flynn2_F_18,0.8,0.2,0.2,0.9,0.7,0.6,0.5,0,4,8
Flynn2_F_18,0.7,0.5,0.3,1,1,0.4,0.2,0,5,8
Flynn2_F_18,0.5,0.5,0.3,0.8,0.5,0.7,0.2,0,6,8
Flynn2_F_18,1,0.5,0.1,1,1,0.8,0.3,0,7,8
Flynn2_F_18,0.9,0.4,0.1,1,1,0.7,0.3,0,7,8
Flynn2_F_18,0.7,0.5,0.3,1,1,0.7,0.3,0,8,8
Hilary_F_18,0.4,0.7,0,0.9,0.7,0.6,0,0,5,7
Hilary_F_18,0.3,0,0,0.3,0,0.4,0.1,0,5,7
Hilary_F_18,0.7,0.4,0.1,0.9,0.7,0.7,0.2,0,6,7
Hilary_F_18,1,0.6,0.6,0.9,0.7,0.6,0.3,0,7,7
Motel_F_17,0.9,0.3,0.2,0.9,0.7,0.7,0.3,1,7,12
Motel_F_17,0.3,0.3,0,0.5,0.1,0.6,0.1,1,8,12
Motel_F_17,0.4,0.3,0.1,0.4,0.1,0.8,0.2,1,9,12
Motel_F_17,0.1,0.1,0,0.4,0.1,0.2,0.5,1,10,12
Motel_F_17,0.8,0,0.3,1,1,0.3,0.4,1,11,12
Motel_F_17,0.6,0.2,0.1,0.8,0.5,0.4,0.1,1,11,12
Motel_F_17,0.8,0.4,0.1,1,1,0.5,0.4,1,12,12
NE1_F_17,0.2,0.2,0,0.2,0,0.3,0.1,1,5,12
NE1_F_17,1,0.4,0.2,0.9,0.7,0.4,0.1,1,7,12
